CLUSTER LEVEL 0,ELEMENT NAME,HIERARCHY ID,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,1.9,1.10,1.11,1.12,1.13,1.14,1.15,1.16,1.17,1.18,1.19,1.20,1.21,1.22,1.23
DIAS TRS,Circumferential barrier,1.1,,,,,,,,,X,,,,,,,,,X,X,X,X,,
DIAS TRS,Increase the Vane Lean angle,1.2,,,,X,,,,,,,,,X,,,,,X,X,X,X,,
DIAS TRS,Strut Segment Thickness,1.3,,,,X,,,,,,,,,,,,,,X,X,X,X,,
DIAS TRS,Strut numbers,1.4,,X,X,,,,,,,,,,,,,,,X,X,X,X,,
DIAS TRS,Strut Segment (vane),1.5,,,,,,,,,,,,,,,,,,,,,,,
DIAS TRS,Mounting stump in inner ring,1.6,,,,,,,,,,,,,,,,X,,X,,X,X,,
DIAS TRS,Vane cord parameters,1.7,,,,,,,,,,,,,,,,,X,X,X,X,X,,
DIAS TRS,Geometry of surfaces along outer perimeter,1.8,,,,,,,,,,,,X,,,,,X,X,X,,,,
DIAS TRS,Outer structure with polygonal ring,1.9,X,,,,,,,,,,,,,,X,,,X,X,,X,,
DIAS TRS,"lower the mount point and create a ""bump""",1.10,,,,,,,,,,,,,,,,,,X,X,,,,
DIAS TRS,3-point mounting system on outer ring with bump,1.11,,,,,,,,,,,,,,,,,,,,,,,
DIAS TRS,Width of Geometry of outer surfaces on vane,1.12,,,,,,,,X,,,,,,,,,,X,,,X,,
DIAS TRS,Vane Numbers,1.13,,X,,,,,,,,,,,,,,,,X,X,X,X,,
DIAS TRS,Vane,1.14,,,,,,,,,,,,,,,,,,,,,,,
DIAS TRS,Mounting stump in outer ring,1.15,,,,,,,,,X,,,,,,,,,X,X,,X,,
DIAS TRS,Inner circumferential structure,1.16,,,,,,X,,,,,,,,,,,,X,X,X,X,,
DIAS TRS,Geometry of surfaces along inner perimeter,1.17,,,,,,,X,X,,,,,,,,,,X,,X,,,
DIAS TRS,(M) non-standard Standard Welding Robot  provided by supplier X,1.18,X,X,X,X,,X,X,X,X,X,,X,X,,X,X,X,,,,,,
DIAS TRS,(M) Positioned outer ring,1.19,X,X,X,X,,,X,X,X,X,,,X,,X,X,,,,,,,
DIAS TRS,(M) Positioned inner ring,1.20,X,X,X,X,,X,X,,,,,,X,,,X,X,,,,,,
DIAS TRS,(M) Positioned struts,1.21,X,X,X,X,,X,X,,X,,,X,X,,X,X,,,,,,,
DIAS TRS,(M) Accommodate radially OR separate from STRUT  separated from IR,1.22,,,,,,,,,,,,,,,,,,,,,,,
DIAS TRS,(M) Assemble TRS through an assembly station,1.23,,,,,,,,,,,,,,,,,,,,,,,
