CLUSTER LEVEL 0,ELEMENT NAME,HIERARCHY ID,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,1.9,1.10,1.11,1.12,1.13,1.14,1.15,1.16,1.17,1.18,1.19,1.20
DIAS TRS,Circumferential barrier,1.1,,,,,,,,,0.04,,,,,,,,0.11,0.3,,
,,,,,,,,,,,0.96,,,,,,,,0.98,0.26,,
DIAS TRS,Increase the Vane Lean angle,1.2,,,,0.72,,,,,,,,0.2,,,,,0.18,0.06,,
,,,,,,0.34,,,,,,,,0.65,,,,,0.49,0.31,,
DIAS TRS,Strut Segment Thickness,1.3,,,,0.12,,,,,,,,,,,,,0.52,0.93,,
,,,,,,0.59,,,,,,,,,,,,,0.02,0.83,,
DIAS TRS,Strut numbers,1.4,,0.72,0.12,,,,,,,,,,,,,,0.51,0.43,,
,,,,0.34,0.59,,,,,,,,,,,,,,0.75,0.18,,
DIAS TRS,Strut Segment (vane),1.5,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
DIAS TRS,Mounting stump in inner ring,1.6,,,,,,,,,,,,,,,0.63,,0.51,,,
,,,,,,,,,,,,,,,,,0.64,,0.22,,,
DIAS TRS,Vane cord parameters,1.7,,,,,,,,,,,,,,,,0.61,0.7,0.86,,
,,,,,,,,,,,,,,,,,,0.22,0.51,0.88,,
DIAS TRS,Geometry of surfaces along outer perimeter,1.8,,,,,,,,,,,0.47,,,,,0.33,0.55,0.05,,
,,,,,,,,,,,,,0.07,,,,,0.97,0.22,0.72,,
DIAS TRS,Outer structure with circumferential ring,1.9,0.04,,,,,,,,,0.19,,,,0.83,,,0.64,0.48,,
,,,0.96,,,,,,,,,0.96,,,,0.7,,,0.2,0.79,,
DIAS TRS,3-point mounting system on outer ring without bump,1.10,,,,,,,,,0.19,,,,,,,,0.56,0.18,,
,,,,,,,,,,,0.96,,,,,,,,0.24,0.75,,
DIAS TRS,Width of Geometry of outer surfaces on vane,1.11,,,,,,,,0.47,,,,,,,,,0.29,0.27,,
,,,,,,,,,,0.07,,,,,,,,,0.98,0.07,,
DIAS TRS,Vane Numbers,1.12,,0.2,,,,,,,,,,,,,,,0.98,0.33,,
,,,,0.65,,,,,,,,,,,,,,,0.89,0.75,,
DIAS TRS,Vane,1.13,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
DIAS TRS,Mounting stump in outer ring,1.14,,,,,,,,,0.83,,,,,,,,0.78,,,
,,,,,,,,,,,0.7,,,,,,,,0.1,,,
DIAS TRS,Inner circumferential structure,1.15,,,,,,0.63,,,,,,,,,,,0.87,0.04,,
,,,,,,,,0.64,,,,,,,,,,,0.68,0.63,,
DIAS TRS,Geometry of surfaces along inner perimeter,1.16,,,,,,,0.61,0.33,,,,,,,,,0.62,0.2,,
,,,,,,,,,0.22,0.97,,,,,,,,,0.1,0.67,,
DIAS TRS,(M) non-standard Standard Welding Robot  provided by supplier Y,1.17,0.11,0.18,0.52,0.51,,0.51,0.7,0.55,0.64,0.56,0.29,0.98,,0.78,0.87,0.62,,,,
,,,0.98,0.49,0.02,0.75,,0.22,0.51,0.22,0.2,0.24,0.98,0.89,,0.1,0.68,0.1,,,,
DIAS TRS,(M) 3 Sections,1.18,0.3,0.06,0.93,0.43,,,0.86,0.05,0.48,0.18,0.27,0.33,,,0.04,0.2,,,,
,,,0.26,0.31,0.83,0.18,,,0.88,0.72,0.79,0.75,0.07,0.75,,,0.63,0.67,,,,
DIAS TRS,(M) Accommodate angular pieces (Cake piece),1.19,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
DIAS TRS,(M) Assemble TRS through an assembly station,1.20,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
