CLUSTER LEVEL 0,ELEMENT NAME,HIERARCHY ID,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,1.9,1.10,1.11,1.12,1.13,1.14,1.15,1.16,1.17
DIAS TRS,Circumferential barrier,1.1,,,,,,,,,0.04,,,,,,,,0.15
,,,,,,,,,,,0.96,,,,,,,,0.35
DIAS TRS,Increase the Vane Lean angle,1.2,,,,0.72,,,,,,,,0.2,,,,,0.67
,,,,,,0.34,,,,,,,,0.65,,,,,0.85
DIAS TRS,Strut Segment Thickness,1.3,,,,0.12,,,,,,,,,,,,,0.58
,,,,,,0.59,,,,,,,,,,,,,0.96
DIAS TRS,Strut numbers,1.4,,0.72,0.12,,,,,,,,,,,,,,0.61
,,,,0.34,0.59,,,,,,,,,,,,,,0.48
DIAS TRS,Strut Segment (vane),1.5,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
DIAS TRS,Mounting stump in inner ring,1.6,,,,,,,,,,,,,,,0.63,,
,,,,,,,,,,,,,,,,,0.64,,
DIAS TRS,Vane cord parameters,1.7,,,,,,,,,,,,,,,,0.61,0.81
,,,,,,,,,,,,,,,,,,0.22,0.76
DIAS TRS,Geometry of surfaces along outer perimeter,1.8,,,,,,,,,,,0.47,,,,,0.33,0.96
,,,,,,,,,,,,,0.07,,,,,0.97,0.49
DIAS TRS,Outer structure with circumferential ring,1.9,0.04,,,,,,,,,0.19,,,,0.83,,,0.82
,,,0.96,,,,,,,,,0.96,,,,0.7,,,0.52
DIAS TRS,3-point mounting system on outer ring without bump,1.10,,,,,,,,,0.19,,,,,,,,0.62
,,,,,,,,,,,0.96,,,,,,,,0.17
DIAS TRS,Width of Geometry of outer surfaces on vane,1.11,,,,,,,,0.47,,,,,,,,,0.0
,,,,,,,,,,0.07,,,,,,,,,0.7
DIAS TRS,Vane Numbers,1.12,,0.2,,,,,,,,,,,,,,,0.42
,,,,0.65,,,,,,,,,,,,,,,0.38
DIAS TRS,Vane,1.13,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
DIAS TRS,Mounting stump in outer ring,1.14,,,,,,,,,0.83,,,,,,,,
,,,,,,,,,,,0.7,,,,,,,,
DIAS TRS,Inner circumferential structure,1.15,,,,,,0.63,,,,,,,,,,,0.37
,,,,,,,,0.64,,,,,,,,,,,0.11
DIAS TRS,Geometry of surfaces along inner perimeter,1.16,,,,,,,0.61,0.33,,,,,,,,,0.76
,,,,,,,,,0.22,0.97,,,,,,,,,0.37
DIAS TRS,(M) Avoid assembly by building as one unit,1.17,0.15,0.67,0.58,0.61,,,0.81,0.96,0.82,0.62,0.0,0.42,,,0.37,0.76,
,,,0.35,0.85,0.96,0.48,,,0.76,0.49,0.52,0.17,0.7,0.38,,,0.11,0.37,
